ts=17181394500, type=DATA_MAG, x=132221, y=130353, z=131633
ts=17181394508, type=DATA_MAG, x=132223, y=130336, z=131614
ts=17181394520, type=DATA_MAG, x=132224, y=130361, z=131630
ts=17181394528, type=DATA_MAG, x=132213, y=130358, z=131639
ts=17181394536, type=DATA_MAG, x=132223, y=130359, z=131628
ts=17181394548, type=DATA_MAG, x=132214, y=130355, z=131643
ts=17181394556, type=DATA_MAG, x=132230, y=130357, z=131630
ts=17181394568, type=DATA_MAG, x=132221, y=130347, z=131625
ts=17181394576, type=DATA_MAG, x=132221, y=130356, z=131614
ts=17181394584, type=DATA_MAG, x=132220, y=130352, z=131636
ts=17181394596, type=DATA_MAG, x=132225, y=130362, z=131636
ts=17181394604, type=DATA_MAG, x=132224, y=130353, z=131630
ts=17181394616, type=DATA_MAG, x=132224, y=130357, z=131625
ts=17181394624, type=DATA_MAG, x=132209, y=130358, z=131644
ts=17181394632, type=DATA_MAG, x=132207, y=130365, z=131640
ts=17181394644, type=DATA_MAG, x=132223, y=130354, z=131616
ts=17181394652, type=DATA_MAG, x=132205, y=130362, z=131629
ts=17181394664, type=DATA_MAG, x=132214, y=130353, z=131615
ts=17181394672, type=DATA_MAG, x=132213, y=130362, z=131634
ts=17181394680, type=DATA_MAG, x=132213, y=130352, z=131619
ts=17181394692, type=DATA_MAG, x=132223, y=130364, z=131614
ts=17181394700, type=DATA_MAG, x=132236, y=130360, z=131619
ts=17181394712, type=DATA_MAG, x=132228, y=130359, z=131638
ts=17181394720, type=DATA_MAG, x=132237, y=130351, z=131625
ts=17181394728, type=DATA_MAG, x=132227, y=130346, z=131631
ts=17181394740, type=DATA_MAG, x=132212, y=130391, z=131616
ts=17181394748, type=DATA_MAG, x=132195, y=130378, z=131677
ts=17181394760, type=DATA_MAG, x=132238, y=130352, z=131631
ts=17181394768, type=DATA_MAG, x=132235, y=130349, z=131622
ts=17181394776, type=DATA_MAG, x=132244, y=130351, z=131635
ts=17181394788, type=DATA_MAG, x=132225, y=130350, z=131624
ts=17181394796, type=DATA_MAG, x=132234, y=130355, z=131627
ts=17181394808, type=DATA_MAG, x=132229, y=130353, z=131623
ts=17181394816, type=DATA_MAG, x=132209, y=130390, z=131634
ts=17181394824, type=DATA_MAG, x=132233, y=130339, z=131625
ts=17181394836, type=DATA_MAG, x=132232, y=130354, z=131636
ts=17181394844, type=DATA_MAG, x=132228, y=130352, z=131611
ts=17181394856, type=DATA_MAG, x=132228, y=130360, z=131644
ts=17181394864, type=DATA_MAG, x=132178, y=130375, z=131668
ts=17181394872, type=DATA_MAG, x=132210, y=130367, z=131655
ts=17181394884, type=DATA_MAG, x=132219, y=130349, z=131633
ts=17181394892, type=DATA_MAG, x=132228, y=130364, z=131631
ts=17181394904, type=DATA_MAG, x=132220, y=130355, z=131623
ts=17181394912, type=DATA_MAG, x=132228, y=130343, z=131628
ts=17181394920, type=DATA_MAG, x=132214, y=130360, z=131644
ts=17181394932, type=DATA_MAG, x=132234, y=130361, z=131625
ts=17181394940, type=DATA_MAG, x=132238, y=130358, z=131616
ts=17181394952, type=DATA_MAG, x=132233, y=130356, z=131621
ts=17181394960, type=DATA_MAG, x=132164, y=130424, z=131605
ts=17181394968, type=DATA_MAG, x=132138, y=130391, z=131652
ts=17181394980, type=DATA_MAG, x=132210, y=130367, z=131623
ts=17181394988, type=DATA_MAG, x=132195, y=130358, z=131624
ts=17181395000, type=DATA_MAG, x=132204, y=130369, z=131623
ts=17181395008, type=DATA_MAG, x=132193, y=130360, z=131637
ts=17181395020, type=DATA_MAG, x=132203, y=130367, z=131621
ts=17181395028, type=DATA_MAG, x=132190, y=130359, z=131633
ts=17181395036, type=DATA_MAG, x=132198, y=130375, z=131641
ts=17181395048, type=DATA_MAG, x=132194, y=130360, z=131617
ts=17181395056, type=DATA_MAG, x=132215, y=130362, z=131629
ts=17181395068, type=DATA_MAG, x=132209, y=130361, z=131620
ts=17181395076, type=DATA_MAG, x=132216, y=130374, z=131634
ts=17181395084, type=DATA_MAG, x=132214, y=130375, z=131628
ts=17181395096, type=DATA_MAG, x=132218, y=130365, z=131633
ts=17181395104, type=DATA_MAG, x=132222, y=130355, z=131628
ts=17181395116, type=DATA_MAG, x=132210, y=130362, z=131639
ts=17181395124, type=DATA_MAG, x=132218, y=130352, z=131631
ts=17181395132, type=DATA_MAG, x=132223, y=130368, z=131634
ts=17181395144, type=DATA_MAG, x=132227, y=130352, z=131621
ts=17181395152, type=DATA_MAG, x=132210, y=130364, z=131629
ts=17181395164, type=DATA_MAG, x=132216, y=130372, z=131634
ts=17181395172, type=DATA_MAG, x=132208, y=130366, z=131627
ts=17181395180, type=DATA_MAG, x=132225, y=130357, z=131628
ts=17181395192, type=DATA_MAG, x=132207, y=130373, z=131635
ts=17181395200, type=DATA_MAG, x=132221, y=130360, z=131629
ts=17181395212, type=DATA_MAG, x=132216, y=130364, z=131651
ts=17181395220, type=DATA_MAG, x=132227, y=130365, z=131633
ts=17181395228, type=DATA_MAG, x=132216, y=130347, z=131633
ts=17181395240, type=DATA_MAG, x=132221, y=130366, z=131644
ts=17181395248, type=DATA_MAG, x=132223, y=130345, z=131635
ts=17181395260, type=DATA_MAG, x=132226, y=130361, z=131633
ts=17181395268, type=DATA_MAG, x=132209, y=130358, z=131649
ts=17181395276, type=DATA_MAG, x=132216, y=130352, z=131634
ts=17181395288, type=DATA_MAG, x=132215, y=130348, z=131649
ts=17181395296, type=DATA_MAG, x=132218, y=130354, z=131646
ts=17181395308, type=DATA_MAG, x=132215, y=130354, z=131629
ts=17181395316, type=DATA_MAG, x=132232, y=130354, z=131626
ts=17181395324, type=DATA_MAG, x=132217, y=130354, z=131624
ts=17181395336, type=DATA_MAG, x=132225, y=130364, z=131639
ts=17181395344, type=DATA_MAG, x=132222, y=130357, z=131625
ts=17181395356, type=DATA_MAG, x=132220, y=130372, z=131617
ts=17181395364, type=DATA_MAG, x=132143, y=130390, z=131653
ts=17181395372, type=DATA_MAG, x=132189, y=130370, z=131642
ts=17181395384, type=DATA_MAG, x=132193, y=130366, z=131622
ts=17181395392, type=DATA_MAG, x=132197, y=130367, z=131638
ts=17181395404, type=DATA_MAG, x=132200, y=130363, z=131626
ts=17181395412, type=DATA_MAG, x=132194, y=130378, z=131634
ts=17181395420, type=DATA_MAG, x=132202, y=130367, z=131631
ts=17181395432, type=DATA_MAG, x=132196, y=130365, z=131631
ts=17181395440, type=DATA_MAG, x=132205, y=130363, z=131628
ts=17181395452, type=DATA_MAG, x=132209, y=130353, z=131630
